"id","title","price","permalink","brand","line","model","processor","storage","memory","condition"
"MLA1728066432","Celular Motorola Moto G 100",320000,"https://articulo.mercadolibre.com.ar/MLA-1728066432-celular-motorola-moto-g-100-_JM","Motorola","Moto G","G100","Snapdragon 870","128 GB","8 GB","used"
"MLA1689268868","Motorola Razr 40 ",650000,"https://articulo.mercadolibre.com.ar/MLA-1689268868-motorola-razr-40-_JM","Motorola","RAZR","RAZR 40","Snapdragon 7 Gen 1","256 GB","8 GB","used"
"MLA1417741887","Motorola Edge 40 Pro 256 Celeste Impoluto",850000,"https://articulo.mercadolibre.com.ar/MLA-1417741887-motorola-edge-40-pro-256-celeste-impoluto-_JM","Motorola","Edge","Edge","Snapdragon 765G","256 GB","12 GB","used"
"MLA1417806603","Moto G31 128 Gb Azul Cielo 4 Gb Ram",200000,"https://articulo.mercadolibre.com.ar/MLA-1417806603-moto-g31-128-gb-azul-cielo-4-gb-ram-_JM","Motorola","Moto","Moto G31 128 GB azul","MediaTek Helio G85","128 GB","128 GB","used"
"MLA1683508356","Motorola Edge 40 ",700000,"https://articulo.mercadolibre.com.ar/MLA-1683508356-motorola-edge-40-_JM","Motorola","Edge","Edge 40 Pro","Snapdragon 8 Gen 2","256 GB","12 GB","used"
"MLA1415752305","Motorola Moto G54 5g",310000,"https://articulo.mercadolibre.com.ar/MLA-1415752305-motorola-moto-g54-5g-_JM","Motorola","Moto G","G54 5G","MediaTek Dimensity 7020","128 GB","8 GB","used"
"MLA1419843393","Celular Motorola Moto G84 5g 256gb 8gb Ram",420000,"https://articulo.mercadolibre.com.ar/MLA-1419843393-celular-motorola-moto-g84-5g-256gb-8gb-ram-_JM","Motorola","Moto","G84 5G","Snapdragon 615","256 GB","8 GB","used"
"MLA1413537279","Motorola Edge 20 Pro 256gb 12gb Ram Con Ready For",350000,"https://articulo.mercadolibre.com.ar/MLA-1413537279-motorola-edge-20-pro-256gb-12gb-ram-con-ready-for-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1678031414","Permuta Motorola Edge 30 Ultra 256gb 12gb Ram Celular Gammer",715000,"https://articulo.mercadolibre.com.ar/MLA-1678031414-permuta-motorola-edge-30-ultra-256gb-12gb-ram-celular-gammer-_JM","Motorola","Edge","30 Ultra","Snapdragon 8+ Gen 1","256 GB","12 GB","used"
"MLA1418318271","Celular Motorola G84  5 G",415000,"https://articulo.mercadolibre.com.ar/MLA-1418318271-celular-motorola-g84-5-g-_JM","Motorola","Moto G","Moto G84 5G","Snapdragon 695","256 GB","8 GB","used"
"MLA1727280188","Celular Motog200 ",300000,"https://articulo.mercadolibre.com.ar/MLA-1727280188-celular-motog200-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1681634156","Motorola Edge 20 Pro  256 Gb  Blue Vegan Leather  12 Gb  ",550000,"https://articulo.mercadolibre.com.ar/MLA-1681634156-motorola-edge-20-pro-256-gb-blue-vegan-leather-12-gb-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1412190831","Motorola G54 8gb/256gb 5g Nuevo",400000,"https://articulo.mercadolibre.com.ar/MLA-1412190831-motorola-g54-8gb256gb-5g-nuevo-_JM","Motorola","Liberado","Moto G54 5G","None","256 GB","8 GB","used"
"MLA1731322294","Moto Edge 40",610000,"https://articulo.mercadolibre.com.ar/MLA-1731322294-moto-edge-40-_JM","Motorola","None","Moto edge 40","None","256 GB","8 GB","used"
"MLA1389069979","Motorola Edge 20 Pro 12gb Completo En Caja Con Todos Los Acc",584000,"https://articulo.mercadolibre.com.ar/MLA-1389069979-motorola-edge-20-pro-12gb-completo-en-caja-con-todos-los-acc-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1415068861","Motorola Razr 40 Ultra 512 Gb ",1300000,"https://articulo.mercadolibre.com.ar/MLA-1415068861-motorola-razr-40-ultra-512-gb-_JM","Motorola","RAZR","RAZR 40 Ultra Dual SIM","Snapdragon 8+ Gen 1","512 GB","12 GB","used"
"MLA1417195295","Celular G200 Motorola",350000,"https://articulo.mercadolibre.com.ar/MLA-1417195295-celular-g200-motorola-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1411558523","Motorola Edge 30 Ultra + Cargador + Accesorios",900000,"https://articulo.mercadolibre.com.ar/MLA-1411558523-motorola-edge-30-ultra-cargador-accesorios-_JM","Motorola","Edge","30 Ultra Dual SIM","Snapdragon 8+ Gen 1","256 GB","8 GB","used"
"MLA1724974248","Celular Motorola G200 128gb Cómo Nuevo ",450000,"https://articulo.mercadolibre.com.ar/MLA-1724974248-celular-motorola-g200-128gb-como-nuevo-_JM","Motorola","AT&T","MOTO G200","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1681747740","Motorola G71 5g Como Nuevo En Caja !!lo Usé 3 Meses !!",300000,"https://articulo.mercadolibre.com.ar/MLA-1681747740-motorola-g71-5g-como-nuevo-en-caja-lo-use-3-meses--_JM","Motorola","Moto G","G71","Snapdragon 695 5G","128 GB","8 GB","used"
"MLA1415108815","Motorola Edge 30 Ultra 256gb 12gb Ram Negro - Impecable!",689999,"https://articulo.mercadolibre.com.ar/MLA-1415108815-motorola-edge-30-ultra-256gb-12gb-ram-negro-impecable-_JM","Motorola","Edge","30 Ultra","Snapdragon 8+ Gen 1","256 GB","12 GB","used"
"MLA1573574552","Motorola G200 5g 128gb Azul Glaciar (impecable)",500000,"https://articulo.mercadolibre.com.ar/MLA-1573574552-motorola-g200-5g-128gb-azul-glaciar-impecable-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1416680025","Celular Motorola Edge 40 Pro 256/12 Gb Celeste ",900000,"https://articulo.mercadolibre.com.ar/MLA-1416680025-celular-motorola-edge-40-pro-25612-gb-celeste-_JM","Motorola","Edge","Edge 40 Dual SIM","MediaTek Dimensity 8020","256 GB","8 GB","used"
"MLA1690197046"," Moto G200 5g 128 Gb  Morado 8 Gb Ram Sd888+",350000,"https://articulo.mercadolibre.com.ar/MLA-1690197046-moto-g200-5g-128-gb-morado-8-gb-ram-sd888-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1420688097","Motorola G200",780000,"https://articulo.mercadolibre.com.ar/MLA-1420688097-motorola-g200-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1412697003","Celular Motorola G200",350000,"https://articulo.mercadolibre.com.ar/MLA-1412697003-celular-motorola-g200-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1402282857","Celular Moto G200 5g 128gb 8gb + Hdmi Control Remoto Glaciar",449999,"https://articulo.mercadolibre.com.ar/MLA-1402282857-celular-moto-g200-5g-128gb-8gb-hdmi-control-remoto-glaciar-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1698221706","Motorola G 200",390000,"https://articulo.mercadolibre.com.ar/MLA-1698221706-motorola-g-200-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1415381083","Motorola Edge 20 Pro ",315000,"https://articulo.mercadolibre.com.ar/MLA-1415381083-motorola-edge-20-pro-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1421568247","Vendo iPhone 12 Pro 128 Gb 80% De Bateria",510000,"https://articulo.mercadolibre.com.ar/MLA-1421568247-vendo-iphone-12-pro-128-gb-80-de-bateria-_JM","Apple","Iphone 12","12 pro","Apple A14 Bionic","128 GB","128 GB","used"
"MLA1723699444","Celular Motorola Razr 40 Ultra Dual Sim 512gb 12gb Ram",1200000,"https://articulo.mercadolibre.com.ar/MLA-1723699444-celular-motorola-razr-40-ultra-dual-sim-512gb-12gb-ram-_JM","Motorola","RAZR","RAZR 40 Ultra Dual SIM","Snapdragon 8+ Gen 1","512 GB","12 GB","used"
